,Element,URI,Description,Label,EquivalentClass,Domain,InverseOf,ParentProperty
M172 Colour content,class,http://data.doremus.org/ontology#M172_Colour_Content,,M172 Colour content@enM172 Couleur du contenu@fr,,,,
M173 Playing speed,class,http://data.doremus.org/ontology#M173_Playing_Speed,,M173 Playing speed@enM173 Vitesse de lecture@fr,,,,
M174 Content type,class,http://data.doremus.org/ontology#M174_Content_Type,,M174 Content type@enM174 Type de contenu@fr,,,,
M175 Music format,class,http://data.doremus.org/ontology#M175_Music_Format,,M175 Music format@enM175 Format musical@fr,,,,
CLU206i should be media type of,property,http://data.doremus.org/ontology#CLU206i_should_be_media_type_of,,CLU206i should be media type of@en,,,,
CLU223 should have number of tape tracks,property,http://data.doremus.org/ontology#CLU223_should_have_number_of_tape_tracks,,,,efrbroo:F3_Manifestation_Product_Type,,
CLU207i should be carrier type of,property,http://data.doremus.org/ontology#CLU207i_should_be_carrier_type_of,,CLU207i should be carrier type of@en,,,,
CLU206 should have media type,property,http://data.doremus.org/ontology#CLU206_should_have_media_type,,,,,mus:CLU206i_should_be_media_type_of,
CLU198i should be container of,property,http://data.doremus.org/ontology#CLI198i_should_be_container_of,,,,,mus:CLU198_should_have_container,
CLU210i should be pagination of,property,http://data.doremus.org/ontology#CLU210i_should_be_pagination_of,,CLU210i should be pagination of@en,,,,
U223i should be number of tape tracks of,property,http://data.doremus.org/ontology#CLU223i_should_be_number_of_tape_tracks_of,,,,,mus:U223_has_number_of_tape_tracks,
CLU197_should_have_binding,property,http://data.doremus.org/ontology#CLU197_should_have_binding,,,,,mus:CLU197i_should_be_binding_of,
CLU207 should have carrier type,property,http://data.doremus.org/ontology#CLU207_should_have_carrier_type,,,,,mus:CLU207i_should_be_carrier_type_of,
CLU217 should have playing speed,property,http://data.doremus.org/ontology#CLU217_should_have_playing_speed,,,,,mus:CLU217i_should_be_playing_speed_of,
CLU197i should be binding of,property,http://data.doremus.org/ontology#CLU197i_should_be_binding_of,,CLU197i should be binding of@en,,,,
CLU210 should have pagination,property,http://data.doremus.org/ontology#CLU210_should_have_pagination,,,,,mus:CLU210i_should_be_pagination_of,
CLU53i should be duration of,property,http://data.doremus.org/ontology#CLU53i_should_be_duration_of,,CLU53i should be duration of@en,,,,
CLU217i should be playing speed of,property,http://data.doremus.org/ontology#CLU217i_should_be_playing_speed_of,,CLU217i should be playing speed of@en,,,,
CLU198 should have container,property,http://data.doremus.org/ontology#CLU198_should_have_container,,,,efrbroo:F4_Manifestation_Singleton,,
CLU53 should have duration,property,http://data.doremus.org/ontology#CLU53_should_have_duration,,,,,mus:CLU53i_should_be_duration_of,
U1 used medium of performance,property,http://data.doremus.org/ontology#U1_used_medium_of_performance,,,,,mus:U1i_medium_of_performance_was_used_in,
U1i medium of performance was used in,property,http://data.doremus.org/ontology#U1i_medium_of_performance_was_used_in,,U1i medium of performance was used in@en,,,,
U2 foresees use of medium of performance,property,http://data.doremus.org/ontology#U2_foresees_use_of_medium_of_performance,,,,,mus:U2i_is_foreseen_type_of_medium_of_performance_in,
U2i is foreseen type of medium of performance in,property,http://data.doremus.org/ontology#U2i_is_foreseen_type_of_medium_of_performance_in,,U2i is foreseen type of medium of performance in@enU2i est le type d'instrument ou de voix prévu pour@fr,,,,
U3 forees use of specific object,property,http://data.doremus.org/ontology#U3_foresees_use_of_specific_object,,,,,mus:U3i_is_foreseen_specific_object_in,
U3i is foreseen specific medium of performance in,property,http://data.doremus.org/ontology#U3i_is_foreseen_specific_object_in,,U3i is foreseen specific medium of performance in@enU3i est le type d'objet spécifique prévu pour@fr,,,,
U4 had princeps publication,property,http://data.doremus.org/ontology#U4_had_princeps_publication,,,,,mus:U4i_was_princeps_publication_of,
U4i was princeps publication of,property,http://data.doremus.org/ontology#U4i_was_princeps_publication_of,,U4i was princeps publication of@en,,,,
U5 had premiere,property,http://data.doremus.org/ontology#U5_had_premiere,,,,,mus:U5i_was_premiere_of,
U5i was premiere of,property,http://data.doremus.org/ontology#U5i_was_premiere_of,,U5i was premiere of@en,,,,
U6 foresees actor,property,http://data.doremus.org/ontology#U6_foresees_actor,,,,,mus:U6i_is_foreseen_actor_of,
U6i is foreseen actor of,property,http://data.doremus.org/ontology#U6i_is_foreseen_actor_of,,U6i is foreseen actor of@en,,,,
U7 foresees place at,property,http://data.doremus.org/ontology#U7_foresees_place_at,,,,,mus:U7i_is_foreseen_place_of,
U7i is foreseen place of,property,http://data.doremus.org/ontology#U7i_is_foreseen_place_of,,U7i is foreseen place of@en,,,,
U8 foresees time-span,property,http://data.doremus.org/ontology#U8_foresees_time_span,,,,,mus:U8i_is_foreseen_time_span_of,
U8i is foreseen time-span of,property,http://data.doremus.org/ontology#U8i_is_foreseen_time_span_of,,U8i is foreseen time-span of@en,,,,
U9 has quantity,property,http://data.doremus.org/ontology#U9_has_quantity,,,,ecrm:E77_Persistent_Item,,
U10 has order number,property,http://data.doremus.org/ontology#U10_has_order_number,,,,efrbroo:F22_Self-Contained_Expression,,
U11 has key,property,http://data.doremus.org/ontology#U11_has_key,,,,,mus:U11i_is_key_of,
U11i is key of,property,http://data.doremus.org/ontology#U11i_is_key_of,,U11i is key of@en,,,,
U12 has genre,property,http://data.doremus.org/ontology#U12_has_genre,,,,,mus:U12i_is_genre_of,
U12i is genre of,property,http://data.doremus.org/ontology#U12i_is_genre_of,,U12i is genre of@en,,,,
U13 has casting,property,http://data.doremus.org/ontology#U13_has_casting,,,,,mus:U13i_is_casting_of,
U13i is casting of,property,http://data.doremus.org/ontology#U13i_is_casting_of,,U13i is casting of@en,,,,
U14 has tempo,property,http://data.doremus.org/ontology#U14_has_tempo,,,,,mus:U14i_is_tempo_of,
U14i is tempo of,property,http://data.doremus.org/ontology#U14i_is_tempo_of,,U14i is tempo of@en,,,,
U15 has history,property,http://data.doremus.org/ontology#U15_has_history,,,,efrbroo:F22_Self-Contained_Expression,,
U16 has catalogue statement,property,http://data.doremus.org/ontology#U16_has_catalogue_statement,,,,,mus:U16i_is_catalogue_statement_of,
U16i is catalogue statement of,property,http://data.doremus.org/ontology#U16i_is_catalogue_statement_of,,U16i is catalogue statement of@en,,,,
U17 has opus statement,property,http://data.doremus.org/ontology#U17_has_opus_statement,,,,,mus:U17i_is_opus_statement_of,
U17i is opus statement of,property,http://data.doremus.org/ontology#U17i_is_opus_statement_of,,U17i is opus statement of@en,,,,
U18 has rhythmic pattern,property,http://data.doremus.org/ontology#U18_has_rhythmic_pattern,,,,,mus:U18i_is_rhythmic_pattern_of,
U18i is rhythmic pattern of,property,http://data.doremus.org/ontology#U18i_is_rhythmic_pattern_of,,U18i is rhythmic pattern of@en,,,,
U19 is categorized as,property,http://data.doremus.org/ontology#U19_is_categorized_as,,,,,mus:U19i_categorizes,
U19i categorizes,property,http://data.doremus.org/ontology#U19i_categorizes,,U19i categorizes@en,,,,
U20 has music group formation,property,http://data.doremus.org/ontology#U20_has_music_group_formation,,,,,mus:U20i_is_music_group_formation_of,
U20i is music group formation of,property,http://data.doremus.org/ontology#U20i_is_music_group_formation_of,,U20i is music group formation of@en,,,,
U21 is about actor,property,http://data.doremus.org/ontology#U21_is_about_actor,,,,,mus:U21i_actor_is_subject_of,
U21i actor is subject of,property,http://data.doremus.org/ontology#U21i_actor_is_subject_of,,U21i actor is subject of@en,,,,
U22 is about place,property,http://data.doremus.org/ontology#U22_is_about_place,,,,,mus:U22i_place_is_subject_of,
U22i place is subject of,property,http://data.doremus.org/ontology#U22i_place_is_subject_of,,U22i place is subject of@en,,,,
U23 has casting detail,property,http://data.doremus.org/ontology#U23_has_casting_detail,,,,,mus:U23i_is_casting_detail_of,
U23i is casting detail of,property,http://data.doremus.org/ontology#U23i_is_casting_detail_of,,U23i is casting detail of@en,,,,
U24 has award,property,http://data.doremus.org/ontology#U24_has_award,,,,,mus:U24i_is_award_of,
U24i is award of,property,http://data.doremus.org/ontology#U24i_is_award_of,,U24i is award of@en,,,,
